time,prefix,unexpected_origin_asn,affected_prefix,expected_origin_asn
2024-08-26 12:00,27.254.216.0/24,58955,27.254.216.0/22,9891
2024-08-27 12:00,69.172.128.0/24,26627,69.172.128.0/20,3580
2024-08-28 12:00,156.234.142.0/24,45382,156.234.0.0/16,138415
2024-08-30 12:00,160.238.236.0/24,37468,160.238.236.0/22,266577
2024-08-30 12:00,66.59.3.0/24,17358,66.59.0.0/19,16509
2024-08-31 12:00,168.90.18.0/24,266989,168.90.18.0/24,265271
2024-09-01 12:00,199.7.235.0/24,30406,199.7.232.0/21,912
2024-09-02 12:00,192.69.133.0/24,30406,192.69.132.0/22,912
2024-09-04 12:00,156.234.127.0/24,40065,156.234.0.0/16,138415
2024-09-04 12:00,156.241.3.0/24,328608,156.241.3.0/24,152179
2024-09-04 12:00,185.191.21.0/24,201670,185.191.21.0/24,834
2024-09-07 12:00,45.202.67.0/24,138195,45.202.64.0/18,984
2024-09-07 12:00,203.189.233.0/24,213220,203.189.232.0/23,138968
2024-09-08 12:00,103.169.149.0/24,33617,103.169.148.0/23,142339
2024-09-09 12:00,212.70.50.0/24,19905,212.70.32.0/19,29690
2024-09-10 12:00,31.6.14.0/24,199695,31.6.14.0/24,215764
2024-09-12 12:00,113.203.231.0/24,6079,113.203.228.0/22,16589
2024-09-15 12:00,138.36.117.0/24,272533,138.36.116.0/22,264577
2024-09-21 12:00,160.19.47.0/24,273441,160.19.44.0/22,266159
2024-09-24 12:00,204.14.75.0/24,397966,204.14.75.0/24,834
2024-09-25 12:00,45.184.136.0/24,269719,45.184.136.0/22,269382
2024-09-27 12:00,122.129.87.0/24,17911,122.129.87.0/24,134489
2024-10-09 12:00,194.225.148.0/24,34592,194.225.0.0/16,6736
2024-10-09 12:00,194.225.149.0/24,34592,194.225.0.0/16,6736
2024-10-11 12:00,175.111.239.0/24,800,175.111.192.0/18,10126
2024-10-17 12:00,172.252.158.0/24,44477,172.252.144.0/20,18779
2024-10-18 12:00,212.24.240.0/24,215524,212.24.224.0/19,29255
2024-10-22 12:00,131.221.211.0/24,268560,131.221.208.0/22,28658
2024-10-22 12:00,186.237.47.0/24,268560,186.237.32.0/20,28658
2024-10-22 12:00,187.33.111.0/24,268560,187.33.96.0/20,28658
2024-10-22 12:00,187.94.116.0/24,268560,187.94.112.0/20,28658
2024-10-22 12:00,189.39.249.0/24,268560,189.39.240.0/20,28658
2024-10-22 12:00,189.84.246.0/24,268560,189.84.240.0/20,28658
2024-10-23 12:00,23.230.239.0/24,149440,23.230.232.0/21,18779
2024-10-24 12:00,189.1.50.0/24,268560,189.1.48.0/22,28658
2024-10-24 12:00,45.202.208.0/24,138195,45.202.192.0/19,984
2024-10-31 12:00,201.76.109.0/24,28138,201.76.104.0/21,262792
2024-11-01 12:00,45.198.64.0/18,42831,45.198.0.0/16,984
2024-11-03 12:00,94.182.195.0/24,62048,94.182.0.0/15,31549
2024-11-09 12:00,45.182.136.0/24,267656,45.182.136.0/24,269229
2024-11-09 12:00,45.182.138.0/24,267656,45.182.138.0/24,269229
2024-11-09 12:00,45.182.139.0/24,267656,45.182.139.0/24,269229
2024-11-09 12:00,45.198.53.0/24,207990,45.198.0.0/16,984
2024-11-11 12:00,45.182.137.0/24,267656,45.182.137.0/24,269229
2024-11-16 12:00,157.254.215.0/24,400506,157.254.212.0/22,834
2024-11-19 12:00,162.254.6.0/24,174,162.254.0.0/21,399296
2024-11-22 12:00,216.80.55.0/24,36327,216.80.0.0/17,6079
2024-11-25 12:00,45.198.3.0/24,214033,45.198.0.0/16,984
2024-11-25 12:00,45.202.113.0/24,209242,45.202.64.0/18,984
2024-11-26 12:00,138.36.117.0/24,268222,138.36.116.0/22,264577
2024-11-27 12:00,154.85.111.0/24,5065,154.85.108.0/22,22773
2024-11-27 12:00,156.246.103.0/24,5065,156.246.96.0/19,22773
2024-11-27 12:00,45.199.157.0/24,5065,45.199.156.0/23,22773
2024-12-01 12:00,186.226.44.0/24,28208,186.226.32.0/20,28343
2024-12-04 12:00,76.191.90.0/23,55044,76.191.64.0/18,11404
2024-12-05 12:00,68.234.63.0/24,26801,68.234.48.0/20,3580
2024-12-07 12:00,177.46.39.0/24,267059,177.46.0.0/17,28135
2024-12-10 12:00,216.252.203.0/24,11187,216.252.192.0/20,31827
2024-12-16 12:00,177.75.39.0/24,264100,177.75.32.0/21,262808
2024-12-19 12:00,203.209.99.0/24,17980,203.209.64.0/18,7693
2024-12-20 12:00,187.17.32.0/24,28262,187.17.32.0/20,269073
2024-12-27 12:00,138.255.160.0/24,263508,138.255.160.0/24,263975
2024-12-28 12:00,45.201.236.0/24,142423,45.201.236.0/24,17561
2024-12-28 12:00,45.201.239.0/24,142423,45.201.239.0/24,17561
2024-12-28 12:00,156.253.250.0/24,213725,156.253.128.0/17,984
